gene_name	Control_Rep.A	Control_Rep.B	Treat1_Rep.A	Treat1_Rep.B	Treat2_Rep.A	Treat2_Rep.B	Treat3_Rep.A	Treat3_Rep.B
C1_00010W_A	1	0	1	2.807354922	5.129283017	4.807354922	2	0
C1_00020C_A	9.651051691	9.317412614	9.152284842	9.317412614	10.88569637	11.04302728	10.17242751	9.763212367
C1_00030C_A	5.459431619	4.700439718	4.64385619	5.357552005	6.14974712	6.087462841	6.087462841	4.906890596
C1_00040W_A	10.88493365	10.47167521	11.35259523	12.23930017	11.26268214	11.43879185	13.09572667	12.32558655
C1_00050C_A	0	1	1	5.882643049	5.426264755	5.554588852	3	3.321928095
C1_00060W_A	13.40673648	13.04746477	12.86205613	13.09027786	13.15592502	13.35851385	13.25103853	13.00509818
C1_00070W_A	12.8637991	12.68737568	12.6291289	12.23810614	11.15671514	11.37340896	10.8153833	10.48179943
C1_00080C_A	10.37503943	9.812177306	10.15101654	9.955649908	10.40832974	10.65284497	9.649256178	9.426264755
C1_00090W_A	7.330916878	6.614709844	6.129283017	6.882643049	7	7.247927513	5.523561956	5.672425342
C1_00100C_A	9.995767151	10.05256805	10.87728413	10.88264305	10.75988818	10.99010396	10.89784546	10.52552081
C1_00110W_A	12.60130653	12.75780667	13.17367714	13.26810334	13.93682194	14.15884633	12.94727165	12.88302507
C1_00120C_A	10.73301532	10.66088727	11.1234748	10.77231457	10.91662592	11.04848687	10.59712143	10.15987134
C1_00130C_A	11.06944977	10.80815977	11.27844946	11.19044202	11.98156728	12.04644195	11.81738343	11.70087316
C1_00140W_A	11.04302728	11.197831	10.89784546	11.06339508	11.6379833	11.84862294	10.77725532	10.82097669
C1_00150C_A	9.899356923	9.915879379	10.5574637	10.68825031	10.62296694	10.77725532	10.48482289	10.41574177
C1_00160C_A	13.42390377	13.75988818	12.94233122	11.22941969	11.24138736	11.34872815	9.802516365	9.845490051
C1_00170W_A	10.8273427	10.49485558	12.02479338	9.885696373	11.83526092	11.98121049	12.42992974	11.23361968
C1_00180W_A	15.69247929	15.92362925	15.42157178	14.58771893	12.02444712	12.17398937	12.69675024	12.18920683
C1_00190C_A	3	2.584962501	1	4.459431619	5.832890014	6.044394119	2.321928095	3.169925001
C1_00200C_A	6.044394119	6.108524457	5.727920455	6.50779464	8.77807713	8.599912842	7.076815597	7.076815597
C1_00210C_A	13.13538865	12.68013972	11.89935692	11.64745843	12.17804233	12.27612441	11.29059489	11.41362793
C1_00220W_A	13.4939805	13.26091953	13.58437535	12.90463462	13.11894107	13.21051915	12.86031105	12.64182597
C1_00230C_A	9.714245518	9.659995892	9.77478706	9.948367232	10.27844946	10.38262403	10.54303182	10.18735207
C1_00270W_A	6.022367813	4.392317423	7.348728154	6.686500527	4.321928095	4.523561956	4.64385619	5.857980995
C1_00280C_A	0	0	0	0	0	0	0	0
C1_00290W_A	10.28308835	9.194756854	10.46250227	10.82257083	8.607330314	8.658211483	9.495855027	10.48984796
C1_00310W_A	10.25384748	9.303780748	9.853309555	10.69870467	11.36413466	11.34762137	12.39204904	12.09209641
C1_00320W_A	10.11634396	9.733015322	10.13057056	9.980139578	10.80009099	10.82177398	10.50779464	10.27262978
C1_00330C_A	10.44501485	10.47065887	12.01227534	12.21492619	12.16050175	12.23571509	12.2227949	11.98441846
C1_00340W_A	10.22400167	10.5943246	12.45763738	12.39526635	12.7934001	12.90256354	12.88893347	12.62067804
C1_00350C_A	8.475733431	9.667111542	10.34207467	10.75154406	10.7984718	10.7984718	10.8273427	10.82257083
C1_00360W_A	7.77478706	8.503825738	9.656424863	9.862637358	11.22580994	11.34651373	10.9403136	10.84470576
C1_00370W_A	8.038918989	7.787902559	8.317412614	8.321928095	8.933690655	8.918863237	7.930737338	7.794415866
C1_00380C_A	10.43462823	10.41362793	10.91587938	10.86882255	11.12476754	11.16302064	9.949826711	9.984418459
